code,display_names,board_positions
"RU4","Cole RU4","A70 D13"
"RU46","RU46","D17"
"RUS130B","RUS130B","D18"
"RUS140D","RUS140D","D19"
"RV4-P","Ilco RV4-P","A48"
"S16750","S16750","A40"
"S167FD","S167FD","A40"
"S167FE","S167FE","J79"
"S32","S32","E12"
"S4","Cole S4","E11"
"S43","Cole S43","E13 J63"
"S4KP","S4KP","G17"
"S54F","S54F","J65"
"S54R","S54R","J25"
"S60","S60","I20"
"S69","S69","H16"
"SAA1","SAA1","A49"
"SAME AS B49B","same as B49B","B33"
"SAME AS C49","same as C49","C50"
"SAME AS F29","same as F29","F30"
"SAME MATERIAL AS D6","same material as D6","D7"
"SB11","Cole SB11","A49 G39"
"SC1","SC1","A64"
"SC10","SC10","D78 E19"
"SC11","Cole SC11","F10"
"SC15","SC15","E20"
"SC22","Cole SC22 | SC22","D20 F13 H82"
"SC4","SC4","A65"
"SC7","SC7","E16"
"SC8","SC8","E17"
"SC9","SC9","E18"
"SE1","Cole SE1","F15 J67 J69"
"SEM2D","SEM2D","H81"
"SEN2D","SEN2D","F29"
"SINGLE THEMED KW1 KEY","Single themed KW1 key","A52"
"SK1","SK1","F16"
"SL1","SL1","F17"
"SLG10","SLG10","F18"
"SLG16","SLG16","E20"
"SLG17","SLG17","F19"
"SLG2","SLG2","F12 H82"
"SLG9","SLG9","E19"
"SS4","SS4","F29 F30 H81"
"SS5","SS5","H22"
"SUZ12","SUZ12","B46"
"SUZ20-P","SUZ20-P","B47"
"T-7","Curtis T-7","G11"
"T002","T002","I22"
"T037","Cole T037","C49 C50"
"T040","Cole T040","C48"
"T20R","Cole T20R","B50"
"T4","Cole T4","F20"
"T61C","Ilco T61C","B49"
"T80R","T80R","B49"
"T81A","T81A","B51"
"TM1","TM1","D27"
"TM10","TM10","E26"
"TM12","TM12","E27"
"TM13","TM13","E28"
"TM14","TM14","E29"
"TM15","TM15","F21"
"TM16","TM16","F22"
"TM17","TM17","F23"
"TM18","TM18","F24"
"TM19","TM19","F25"
"TM2","TM2","D28"
"TM20","TM20","F26"
"TM3","TM3","D29"
"TM4","TM4","E21"
"TM6","TM6","E22"
"TM7","TM7","E23"
"TM9","TM9","E25"
"TMA8","TMA8","E24"
"TOYO33B","TOYO33B","D45"
"TR-33","Curtis TR-33","C46"
"TR25","Ilco TR25","B51"
"TR40","TR40","C51 G76 H76"
"TR44","TR44","D45"
"TRM1","TRM1","E25"
"TRM10E","TRM10E","E29"
"TRM11D","TRM11D","E28"
"TRM12","TRM12","F23"
"TRM13","TRM13","F22"
"TRM2D","TRM2D","E22"
"TRM3D","TRM3D","E24"
"TRM4","TRM4","E23"
"TRM8","TRM8","E21"
"TRM9D","TRM9D","E26"
"U122AR","U122AR","A21"
"U122B","U122B","A30"
"V37","V37","E45"
"VI1I","VI1I","B72 E75"
"VI1IG","VI1IG","G12"
"VL-10","Curtis VL-10","D47"
"VO1","VO1","H20"
"VR2","VR2","B72 E75 G12"
"VR5","Cole VR5","G13"
"VR8","Cole VR8","G15"
"VW23R","Cole VW23R","D49"
"WE1","WE1 | Cole WE1","G16 H80"
"WK-2","WK-2","G20"
"WR3","WR3","H83"
"WR4","WR4","A60 G18"
"WR5","Cole WR5 | WR5","G19 J24 J52 J56"
"X-196","X-196","F43"
"X-216","X-216","F40"
"X1000G","X1000G","I25"
"X115","X115","G32"
"X129","Ilco X129","E38"
"X131","X131","D62"
"X132","Ilco X132","J22"
"X179","Ilco X179","B46"
"X183","Ilco X183","E40"
"X187","Ilco X187","D46"
"X198","X198","D34"
"X203","Ilco X203","E45"
"X226","Ilco X226","J29"
"X240","X240","G40"
"X265","Ilco X265","E42"
"X52","X52","A49"
"X55","Ilco X55","A42"
"X68","Ilco X68","F27"
"X82","Ilco X82","G41"
"XL7","XL7","B66 D59 H11"
"Y1","Y1","B68"
"Y101","Y101","I11"
"Y1023","Y1023","I12"
"Y103","Y103","A22"
"Y104","Y104","A24"
"Y117","Y117","I14"
"Y12","Cole Y12 | Curtis Y12","H17 H79"
"Y149","Curtis Y149","E47"
"Y15-2","Cole Y15-2","E48"
"Y154","Cole Y154","B63"
"Y155P","Y155P","F48"
"Y155R","Cole Y155R","F49"
"Y2","Cole Y2","H13"
"Y4","Curtis Y4","H14"
"YH27","YH27","F27"
